DATE,CSUSHPISA,EM%,GDP(billion),FDI % of GDP,DRSRET100S(%),Per capita($),DJAI Close,Fed spending % of GDP,HAI,Inflation Value,MORTGAGE30US,PERMIT(Thousands),"Crime per 100,000"
2000-01-01,100.552,64.6,10002.179,0.13761001477777993,1.98,30015.0,10940.53,0.7077902352621164,124.1,2.74,8.21,1727.0,506.5
2000-02-01,101.339,64.6,10002.179,0.13761001477777993,1.98,30015.0,10128.31,0.7077902352621164,124.3,3.22,8.325,1692.0,506.5
2000-03-01,102.127,64.6,10002.179,0.13761001477777993,1.98,30015.0,10921.92,0.7077902352621164,123.1,3.76,8.24,1651.0,506.5
2000-04-01,102.922,64.7,10247.72,0.14105576655099866,1.97,30447.0,10733.91,0.6908311924548876,122.1,3.07,8.1525,1597.0,506.5
2000-05-01,103.677,64.4,10247.72,0.14105576655099866,1.97,30447.0,10522.33,0.6908311924548876,119.1,3.19,8.515,1543.0,506.5
2000-06-01,104.424,64.5,10247.72,0.14105576655099866,1.97,30447.0,10447.89,0.6908311924548876,116.6,3.73,8.288,1572.0,506.5
2000-07-01,105.054,64.2,10318.165,0.11023277879351609,2.06,30933.0,10521.98,0.686114694574452,116.0,3.66,8.1475,1542.0,506.5
2000-08-01,105.768,64.2,10318.165,0.11023277879351609,2.06,30933.0,11215.1,0.686114694574452,118.4,3.41,8.0275,1552.0,506.5
2000-09-01,106.537,64.2,10318.165,0.11023277879351609,2.06,30933.0,10650.92,0.686114694574452,119.8,3.45,7.912000000000001,1570.0,506.5
2000-10-01,107.381,64.2,10435.744,0.0797930650656053,2.14,31206.0,10971.14,0.678384275001744,123.9,3.45,7.795,1577.0,506.5
2000-11-01,108.299,64.3,10435.744,0.0797930650656053,2.14,31206.0,10414.49,0.678384275001744,124.4,3.45,7.745,1614.0,506.5
2000-12-01,109.138,64.4,10435.744,0.0797930650656053,2.14,31206.0,10787.99,0.678384275001744,125.9,3.39,7.382,1543.0,506.5
2001-01-01,109.845,64.4,10470.231,0.04917752053416968,2.21,31704.0,10887.36,0.7612226904832243,134.6,3.73,7.0325,1699.0,504.5
2001-02-01,110.499,64.3,10470.231,0.04917752053416968,2.21,31704.0,10495.28,0.7612226904832243,135.9,3.53,7.05,1656.0,504.5
2001-03-01,111.107,64.3,10470.231,0.04917752053416968,2.21,31704.0,9878.78,0.7612226904832243,132.3,2.92,6.952,1659.0,504.5
